main_equipment,equipment,equipment_instance,point_category,point_sub_category,point
room control,,,occupancy & comfort,indoor air quality,ambient temperature
room control,,,occupancy & comfort,control & command,temperature
lighting & HVAC,,,energy,current,electric current C
process,,,energy,energy,electric energy
HVAC,ground heat exchanger,,energy,water,pumping flow
room control,,,occupancy & comfort,indoor air quality,ambient temperature
room control,,,occupancy & comfort,occupancy,occupancy
HVAC,hot water circuit,south,energy,water temperature,supply temperature
lighting,,,energy,power,electric real power
HVAC,fan coil unit,,occupancy & comfort,control & command,heating
HVAC,fan coil unit,,occupancy & comfort,control & command,cooling
room control,,,occupancy & comfort,control & command,temperature shift
HVAC,fan coil unit,,occupancy & comfort,control & command,cooling
main,,,energy,current,electric current A
others,,,energy,energy,electric real energy
room control,,,occupancy & comfort,indoor air quality,co2
main,,,energy,current,electric current B
room control,,,occupancy & comfort,occupancy,occupancy
HVAC,fan coil unit,,occupancy & comfort,control & command,damper
HVAC,fan coil unit,,occupancy & comfort,control & command,heating
room control,,,occupancy & comfort,indoor air quality,ambient temperature
utilities,,,energy,current,electric current B
HVAC,fan coil unit,,occupancy & comfort,control & command,fan
lighting,,,energy,energy,electric energy
HVAC,fan coil unit,,occupancy & comfort,control & command,cooling
HVAC,heat pump,compressor 1A  status,energy,status,compressor status
room control,,,occupancy & comfort,indoor air quality,ambient temperature
HVAC,ground heat exchanger,,energy,water,trigger valve position
room control,,,occupancy & comfort,control & command,temperature
lighting,,,energy,energy,electric real energy
HVAC,AHU,AHU 05,energy,energy,cold thermal energy
room control,,,occupancy & comfort,control & command,temperature
room control,,,occupancy & comfort,indoor air quality,ambient temperature
HVAC,fan coil unit,,occupancy & comfort,control & command,fan
ventilation,,,energy,energy,electric energy
HVAC,fan coil unit,,occupancy & comfort,control & command,damper
HVAC,AHU,AHU 06,energy,others,2 ways valve hot battery position
HVAC,,,energy,energy,electric energy
sockets,,,energy,current,electric current B
HVAC,fan coil unit,,occupancy & comfort,control & command,damper
room control,,,occupancy & comfort,control & command,temperature shift
workstation & others,,rate 2,energy,energy,electric real energy into the load
room control,,,occupancy & comfort,occupancy,occupancy
HVAC,Main HVAC,,energy,current,electric current B
room control,,,occupancy & comfort,control & command,temperature shift
room control,,,occupancy & comfort,occupancy,occupancy
sockets,,,energy,energy,electric real energy
ventilation,,,energy,energy,electric energy
room control,,,occupancy & comfort,indoor air quality,ambient temperature
room control,,,occupancy & comfort,control & command,temperature shift
HVAC,fan coil unit,,occupancy & comfort,control & command,damper
room control,,,occupancy & comfort,control & command,temperature
room control,,,occupancy & comfort,occupancy,occupancy
HVAC,fan coil unit,,occupancy & comfort,control & command,cooling
HVAC,,,energy,energy,electric energy
HVAC,,,energy,energy,electric energy
room control,,,occupancy & comfort,control & command,temperature
HVAC,fan coil unit,,occupancy & comfort,control & command,heating
HVAC,AHU,AHU 01,energy,air,return fan status
HVAC,fan coil unit,,occupancy & comfort,control & command,damper
HVAC,hot water circuit,offices,energy,water temperature,return temperature
HVAC,fan coil unit,,occupancy & comfort,control & command,damper
lighting & HVAC,,,energy,current,electric current A
room control,,,occupancy & comfort,control & command,temperature shift
room control,,,occupancy & comfort,indoor air quality,ambient temperature
room control,,,occupancy & comfort,indoor air quality,ambient temperature
room control,,,occupancy & comfort,indoor air quality,ambient temperature
room control,,,occupancy & comfort,control & command,temperature
HVAC,AHU,AHU 03,energy,air,supply air temperature
room control,,,occupancy & comfort,control & command,temperature shift
HVAC,fan coil unit,,occupancy & comfort,control & command,damper
HVAC,fan coil unit,,occupancy & comfort,control & command,fan
lighting & HVAC,,,energy,current,electric current A
HVAC,fan coil unit,,occupancy & comfort,control & command,damper
HVAC,fan coil unit,,occupancy & comfort,control & command,damper
room control,,,occupancy & comfort,occupancy,occupancy
room control,,,occupancy & comfort,indoor air quality,co2
HVAC,fan coil unit,,occupancy & comfort,control & command,cooling
HVAC,fan coil unit,,occupancy & comfort,control & command,cooling
room control,,,occupancy & comfort,control & command,temperature
room control,,,occupancy & comfort,control & command,temperature shift
domestic hot water,,rate 2,energy,energy,electric real energy into the load
sockets,,,energy,current,electric current B
HVAC,,,energy,energy,electric energy
room control,,,occupancy & comfort,control & command,temperature
HVAC,hot water circuit,,energy,energy,hot thermal energy
room control,,,occupancy & comfort,indoor air quality,ambient temperature
HVAC,AHU,AHU 02,energy,air,supply air pressure
lighting,,,energy,energy,electric energy
room control,,,occupancy & comfort,occupancy,occupancy
HVAC,,,energy,energy,electric energy
HVAC,chilled water circuit,offices,energy,water temperature,supply temperature
room control,,,occupancy & comfort,indoor air quality,co2
room control,,,occupancy & comfort,control & command,temperature shift
HVAC,fan coil unit,,occupancy & comfort,control & command,heating
HVAC,,,energy,energy,electric energy
lighting & HVAC,,,energy,energy,electric real energy
HVAC,AHU,AHU 09,energy,energy,electric real energy
HVAC,fan coil unit,,occupancy & comfort,control & command,cooling
HVAC,fan coil unit,,occupancy & comfort,control & command,cooling
HVAC,fan coil unit,,occupancy & comfort,control & command,heating
HVAC,fan coil unit,,occupancy & comfort,control & command,fan
room control,,,occupancy & comfort,indoor air quality,ambient temperature
HVAC,fan coil unit,,occupancy & comfort,control & command,damper
workstation & others,,rate 2,energy,energy,electric real energy into the load
room control,,,occupancy & comfort,control & command,temperature shift
HVAC,AHU,AHU10,energy,air,supply fan status
HVAC,AHU,AHU 04,energy,air,supply fan speed
HVAC,fan coil unit,,occupancy & comfort,control & command,fan
HVAC,AHU,AHU 06R,energy,water,hot water flow
room control,,,occupancy & comfort,control & command,temperature
lighting & HVAC,,,energy,current,electric current A
HVAC,hot water circuit,,energy,energy,hot thermal energy
room control,,,occupancy & comfort,indoor air quality,ambient temperature
room control,,,occupancy & comfort,indoor air quality,ambient temperature
room control,,,occupancy & comfort,control & command,temperature
weather station,,,environment,weather,sonic temperature
room control,,,occupancy & comfort,indoor air quality,ambient temperature
room control,,,occupancy & comfort,indoor air quality,ambient temperature
room control,,,occupancy & comfort,indoor air quality,co2
HVAC,,,energy,energy,electric energy
HVAC,,,energy,energy,cold thermal energy
room control,,,occupancy & comfort,control & command,temperature shift
others,,,energy,current,electric current C
HVAC,,,energy,energy,electric energy
HVAC,AHU,AHU 07,energy,others,recovery wheel position
sockets,,,energy,energy,electric real energy
room control,,,occupancy & comfort,indoor air quality,co2
room control,,,occupancy & comfort,occupancy,occupancy
HVAC,AHU,AHU 04,energy,water,hot water temperature
domestic hot water,,rate 2,energy,energy,electric real energy into the load
HVAC,fan coil unit,,occupancy & comfort,control & command,cooling
room control,,,occupancy & comfort,control & command,temperature
lighting,,,energy,power,electric real power
room control,,,occupancy & comfort,indoor air quality,co2
HVAC,AHU,AHU 06R,energy,energy,electric real energy
HVAC,Main HVAC,,energy,voltage,electric voltage C-N
utilities,,,energy,power,electric real power
room control,,,occupancy & comfort,indoor air quality,ambient temperature
HVAC,fan coil unit,,occupancy & comfort,control & command,damper
HVAC,fan coil unit,,occupancy & comfort,control & command,damper
HVAC,fan coil unit,,occupancy & comfort,control & command,fan
room control,,,occupancy & comfort,occupancy,occupancy
HVAC,fan coil unit,,occupancy & comfort,control & command,damper
HVAC,fan coil unit,,occupancy & comfort,control & command,damper
HVAC,fan coil unit,,occupancy & comfort,control & command,fan
utilities,,,energy,energy,electric real energy
room control,,,occupancy & comfort,indoor air quality,co2
main,,,energy,current,electric current B
HVAC,,,energy,energy,electric energy
HVAC,fan coil unit,,occupancy & comfort,control & command,heating
main,,,energy,energy,electric reactive energy
room control,,,occupancy & comfort,indoor air quality,co2
HVAC,fan coil unit,,occupancy & comfort,control & command,fan
